Taxon	L_PreOrbit	W_Sk
Acrocanthosaurus_atokensis	2.84269721277155	2.68124123737559
Allosaurus_fragilis	2.61395804085721	2.47712125471966
Archaeopteryx_lithographica	1.33264041038746	1.17609125905568
Bambiraptor_feinbergorum	1.76977598491765	1.74429298312268
Baryonyx_walkeri	2.7979852303972	2.38500092007767
Carcharodontosaurus_saharicus	3.03887041510746	2.74663419893758
Carnotaurus_sastrei	2.4828692977868	2.47712125471966
Ceratosaurus_nasicornis	2.58500702147495	2.38381536598043
Citipati_osmolskae	1.76863810124761	1.88649072517248
Coelophysis_bauri	2.08397535643634	1.86923171973098
Coelophysis_rhodesiensis	2.09936464425946	1.84198480459011
Compsognathus_longipes	1.57665227206434	1.39093510710338
Daspletosaurus_torosus	2.81175257456111	2.64443858946784
Deinonychus_antirrhopus	2.30379199302596	2.05880548667591
Dilong_paradoxus	2.01406668656902	1.79098847508882
Dromaeosaurus_albertensis	2.06695919786712	2.01283722470517
Eoraptor_lunensis	1.80230155817436	1.60205999132796
Erlikosaurus_andrewsi	2.15454264985398	2
Gallimimus_bullatus	2.32277731470321	2.02938377768521
Garudimimus_brevipes	2.18181215760155	1.92427928606188
Gorgosaurus_libratus	2.67475921189053	2.5910646070265
Guanlong_wucaii	2.40047927364413	2.09342168516224
Haplocheirus_sollers	2.10799980266839	1.7160033436348
Herrerasaurus_ischigualastensis	2.24859114418833	2.03221570329798
Incisivosaurus_gauthieri	1.55742298151357	1.52374646681156
Lesothosaurus_diagnosticus	1.65915528094063	1.73239375982297
Majungasaurus_crenatissimus	2.50036136457166	2.47712125471966
Monolophosaurus_jiangi	2.71752821081251	2.38560627359831
Nemegtomaia_barsboldi	1.79940947961513	1.92427928606188
Plateosaurus_engelhardti	2.28646096087662	2.0899051114394
Shuvuuia_deserti	1.46575451983388	1.49136169383427
Sinornithosaurus_millenii	1.91464985854034	1.73078227566639
Sinraptor_dongi	2.72076854260787	2.58433122436753
Spinosaurus_aegyptiacus	3.08920526312042	2.6250870200768
Tarbosaurus_bataar	2.88557576957378	2.78958071216443
Teratophoneus_curriei	2.58011376346472	2.45024910831936
Tsaagan_mangas	2.09876136735147	1.74036268949424
Tyrannosaurus_rex	2.91725021431551	2.95424250943932
Velociraptor_mongoliensis	2.11635034492444	1.92685670894969
Yangchuanosaurus_shangyouensis	2.67969220883117	2.46538285144842
Zupaysaurus_rougieri	2.40696745220314	2.07554696139253
